Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
331,12,6.23,1.77,12.61,9.12,7.12,5.42,4.97,LU,0
331,13,5.28,1.11,11.55,8.07,6.85,5.09,5.10,LU,0
331,14,4.92,1.40,11.05,8.44,6.76,5.78,4.88,LU,0
352,1,6.87,1.85,14.78,10.92,8.81,6.82,5.25,LU,1
355,1,7.28,2.07,15.85,11.33,8.84,7.22,5.65,LB,1
355,2,7.11,2.22,14.59,11.23,7.50,6.64,5.66,LU,0
355,3,5.71,1.56,11.81,9.04,6.45,5.76,4.93,LU,0
355,4,6.42,1.93,12.87,9.59,7.21,5.63,5.44,LB,1
355,5,5.04,1.27,10.70,7.49,5.64,5.04,4.75,LU,0
359,12,7.12,1.90,15.37,10.94,9.33,7.22,5.40,LU,1
359,13,6.81,1.90,14.05,10.31,8.41,6.23,5.28,LU,0
359,14,7.03,2.29,14.17,11.13,8.03,6.91,5.55,LU,0
359,15,5.96,1.66,12.72,9.33,7.33,6.15,5.25,LU,0
359,16,6.50,2.04,12.56,10.04,7.56,6.13,5.29,LU,0
385,1,6.28,1.67,13.96,9.83,7.64,6.05,5.02,LB,1
385,2,7.31,2.10,14.97,11.22,8.93,6.47,5.33,LB,1
385,3,6.09,1.39,14.11,9.45,8.02,6.13,5.08,LB,1
385,4,6.26,1.61,12.78,9.81,7.30,6.32,5.29,LB,0
385,5,6.24,1.53,14.42,9.87,8.51,6.62,5.20,LB,1
385,6,5.40,1.19,12.03,8.84,6.99,5.96,4.88,LB,0
385,7,6.41,1.73,13.91,10.32,8.27,6.51,5.33,LU,1
385,8,6.19,1.81,12.47,9.53,7.11,5.73,5.21,LU,1
385,9,6.75,2.01,13.59,10.10,7.75,5.45,5.31,LB,1
385,11,7.44,2.12,14.61,10.92,8.29,6.29,5.45,LB,1
385,12,6.91,1.69,15.92,11.29,9.62,7.36,5.19,LU,1
385,17,7.17,1.81,14.56,10.53,8.21,6.46,5.24,LU,1
385,18,6.17,1.69,12.69,9.33,7.36,5.68,5.13,LU,1
385,19,6.11,1.77,13.47,9.63,8.01,5.53,5.40,LU,1
385,20,6.29,1.84,13.13,9.87,7.61,5.83,4.98,LU,1
385,21,4.91,1.23,10.81,8.03,6.75,5.13,4.81,LU,0
385,22,5.22,1.45,11.11,8.00,6.30,4.69,4.97,DU,1
394,3,5.22,2.43,17.02,12.80,10.13,8.11,5.53,LU,1
394,4,6.15,1.59,13.22,10.31,7.65,7.10,4.90,LU,0
394,5,5.18,1.30,12.20,9.33,7.50,6.76,4.92,LB,0
404,2,7.06,1.59,16.32,11.73,9.33,8.16,5.26,LU,1
404,3,7.13,1.51,16.42,11.22,9.46,7.47,5.26,LU,1
404,4,6.60,1.81,14.17,10.67,8.28,6.71,5.16,LB,1
